,Item,Facet_1,Facet_2,Prompt_1,Prompt_2,HEXACO_1,HEXACO_2,Idx_1,Idx_2,is_rev_1,is_rev_2,X1,Factor,Pos.Cosine,Neg.Cosine,STS.Cosine,Distinct.Cosine,Prompt,Internal.Consistency,Cos.Diff,ABS.Cosine.Diff,K_Means,H_Cluster,Internal.STS,Internal.Distinct,Cluster.STS,SYNTAX/SEMANTICS,ENTAILMENT,CONTEXT
1287,I have no problems with my looks.,Social_Self_Esteem,Social_Self_Esteem,I feel that I am an unpopular person.,I feel reasonably satisfied with myself overall.,I feel that I am an unpopular person.,I feel reasonably satisfied with myself overall.,52,4,FALSE,FALSE,3594,Extraversion,0.286803037,0.17809613,0.235637814,0.010276482,I feel that I am an unpopular person. I feel reasonably satisfied with myself overall. I,0.282900006,0.108706906,0.108706906,3,144,0.232234791,0.052415013,0.539119899,NA,NA,NA
1288,I don't feel like I have any problems.,Social_Self_Esteem,Social_Self_Esteem,I feel that I am an unpopular person.,I feel reasonably satisfied with myself overall.,I feel that I am an unpopular person.,I feel reasonably satisfied with myself overall.,52,4,FALSE,FALSE,3596,Extraversion,0.252151519,0.238473535,0.238473505,0.032267809,I feel that I am an unpopular person. I feel reasonably satisfied with myself overall. I,0.333200008,0.013677984,0.013677984,3,144,0.249821305,0.063378513,0.710296392,NA,NA,NA
1289,I have never had a problem with my sex life.,Social_Self_Esteem,Social_Self_Esteem,I feel that I am an unpopular person.,I feel reasonably satisfied with myself overall.,I feel that I am an unpopular person.,I feel reasonably satisfied with myself overall.,52,4,FALSE,FALSE,3602,Extraversion,0.168380529,0.015265,0.090903841,-0.006350622,I feel that I am an unpopular person. I feel reasonably satisfied with myself overall. I,0.248400003,0.153115529,0.153115529,3,144,0.106169045,0.03497307,0.408391356,NA,NA,NA
1290,I don't have any real problems with my appearance.,Social_Self_Esteem,Social_Self_Esteem,I feel that I am an unpopular person.,I feel reasonably satisfied with myself overall.,I feel that I am an unpopular person.,I feel reasonably satisfied with myself overall.,52,4,FALSE,FALSE,3604,Extraversion,0.312810242,0.222892433,0.234625101,0.029553503,I feel that I am an unpopular person. I feel reasonably satisfied with myself overall. I,0.31400001,0.089917809,0.089917809,3,144,0.257319748,0.066827148,0.658516526,NA,NA,NA
1291,I don't really have a problem with anyones flaws.,Flexibility,Gentleness,I find it hard to compromise with people when I really think I’m right.,I generally accept people’s faults without complaining about them.,I find it hard to compromise with people when I really think I’m right.,I generally accept people’s faults without complaining about them.,87,33,TRUE,TRUE,4346,Agreeableness,0.567645907,0.249245137,0.289487749,0.138938606,I find it hard to compromise with people when I really think I’m right. I generally accept people’s faults without complaining about them. I,0.32949999,0.31840077,0.31840077,3,144,0.317141771,0.079757065,0.692175031,NA,NA,NA
1292,I feel like I have a lot of problems.,Social_Self_Esteem,Social_Self_Esteem,I think that most people like some aspects of my personality.,I sometimes feel that I am a worthless person.,I think that most people like some aspects of my personality.,I sometimes feel that I am a worthless person.,28,76,FALSE,FALSE,2737,Extraversion,0.221185744,0.316302061,0.221185714,0.063344046,I think that most people like some aspects of my personality. I sometimes feel that I am a worthless person. I,0.312099993,-0.095116317,0.095116317,4,241,0.2374295,0.063590437,0.511057436,NA,NA,NA
1293,I have a lot of problems.,Social_Self_Esteem,Social_Self_Esteem,I think that most people like some aspects of my personality.,I sometimes feel that I am a worthless person.,I think that most people like some aspects of my personality.,I sometimes feel that I am a worthless person.,28,76,FALSE,FALSE,2773,Extraversion,0.236412227,0.266320497,0.236412242,0.004346758,I think that most people like some aspects of my personality. I sometimes feel that I am a worthless person. I,0.303499997,-0.02990827,0.02990827,4,241,0.237413108,0.036961824,0.536283195,NA,NA,NA
1294,I'm still working on my own problems.,Liveliness,Social_Self_Esteem,Most people are more upbeat and dynamic than I generally am.,I feel reasonably satisfied with myself overall.,Most people are more upbeat and dynamic than I generally am.,I feel reasonably satisfied with myself overall.,94,4,FALSE,FALSE,3192,Extraversion,0.172554299,0.22537227,0.182430908,-0.007524937,Most people are more upbeat and dynamic than I generally am. I feel reasonably satisfied with myself overall. I,0.25819999,-0.052817971,0.052817971,4,241,0.229105681,0.044756666,0.559955597,NA,NA,NA
1295,I have a few minor issues that I'm working on.,Liveliness,Social_Self_Esteem,Most people are more upbeat and dynamic than I generally am.,I feel reasonably satisfied with myself overall.,Most people are more upbeat and dynamic than I generally am.,I feel reasonably satisfied with myself overall.,94,4,FALSE,FALSE,3206,Extraversion,0.213113666,0.276793718,0.236275211,0.010073721,Most people are more upbeat and dynamic than I generally am. I feel reasonably satisfied with myself overall. I,0.232199997,-0.063680053,0.063680053,1,241,0.298416227,0.042079225,0.483854979,NA,NA,NA
1296,I do have a couple of issues that I would like to work on.,Liveliness,Social_Self_Esteem,Most people are more upbeat and dynamic than I generally am.,I feel reasonably satisfied with myself overall.,Most people are more upbeat and dynamic than I generally am.,I feel reasonably satisfied with myself overall.,94,4,FALSE,FALSE,3292,Extraversion,0.243531287,0.290851027,0.243531331,-0.002730086,Most people are more upbeat and dynamic than I generally am. I feel reasonably satisfied with myself overall. I,0.270300001,-0.04731974,0.04731974,1,241,0.295755118,0.031059965,0.537932217,NA,NA,NA
1297,I have a few issues that I need to work through.,Liveliness,Social_Self_Esteem,Most people are more upbeat and dynamic than I generally am.,I feel reasonably satisfied with myself overall.,Most people are more upbeat and dynamic than I generally am.,I feel reasonably satisfied with myself overall.,94,4,FALSE,FALSE,3313,Extraversion,0.236836001,0.238504335,0.236836001,0.009671867,Most people are more upbeat and dynamic than I generally am. I feel reasonably satisfied with myself overall. I,0.236499995,-0.001668334,0.001668334,1,241,0.280322284,0.024820298,0.636095107,NA,NA,NA
1298,I don't have any significant problems at work.,Anxiety,Dependence,"I rarely, if ever, have trouble sleeping due to stress or anxiety.",I rarely discuss my problems with other people.,"I rarely, if ever, have trouble sleeping due to stress or anxiety.",I rarely discuss my problems with other people.,59,89,FALSE,FALSE,2461,Emotionality,0.152710438,0.406831741,0.186443686,0.030126095,"I rarely, if ever, have trouble sleeping due to stress or anxiety. I rarely discuss my problems with other people. I",0.296799988,-0.254121304,0.254121304,3,144,0.229543686,0.052446336,0.604239166,NA,NA,NA
1299,I have a tendency to look at the floor.,Liveliness,Social_Boldness,Most people are more upbeat and dynamic than I generally am.,I tend to feel quite self-conscious when speaking in front of a group of people.,Most people are more upbeat and dynamic than I generally am.,I tend to feel quite self-conscious when speaking in front of a group of people.,94,82,FALSE,TRUE,2723,Extraversion,0.178255111,0.230860174,0.206584275,0.022107512,Most people are more upbeat and dynamic than I generally am. I tend to feel quite self-conscious when speaking in front of a group of people. I,0.272399992,-0.052605063,0.052605063,1,47,0.287814468,0.019556254,0.417861879,NA,NA,NA
1300,I'm not happy with the way I look.,Liveliness,Social_Self_Esteem,Most people are more upbeat and dynamic than I generally am.,I feel reasonably satisfied with myself overall.,Most people are more upbeat and dynamic than I generally am.,I feel reasonably satisfied with myself overall.,94,4,FALSE,FALSE,3210,Extraversion,0.204518408,0.250001162,0.204518422,-0.003189445,Most people are more upbeat and dynamic than I generally am. I feel reasonably satisfied with myself overall. I,0.316500008,-0.045482755,0.045482755,2,47,0.302919,0.023174495,0.378112048,NA,NA,NA
1301,I'm not a huge fan of the way I look.,Liveliness,Social_Self_Esteem,Most people are more upbeat and dynamic than I generally am.,I feel reasonably satisfied with myself overall.,Most people are more upbeat and dynamic than I generally am.,I feel reasonably satisfied with myself overall.,94,4,FALSE,FALSE,3302,Extraversion,0.206110626,0.282023817,0.239142686,0.032637775,Most people are more upbeat and dynamic than I generally am. I feel reasonably satisfied with myself overall. I,0.368000001,-0.075913191,0.075913191,2,47,0.321103334,0.079850495,0.440434933,NA,NA,NA
1302,I've never liked looking at the numbers on a clock.,Inquisitiveness,Aesthetic_Appreciation,I’ve never really enjoyed looking through an encyclopedia.,I would be quite bored by a visit to an art gallery.,I’ve never really enjoyed looking through an encyclopedia.,I would be quite bored by a visit to an art gallery.,79,1,FALSE,TRUE,7110,Openness to Experience,0.190413505,0.460503876,0.214753076,0.043229163,I’ve never really enjoyed looking through an encyclopedia. I would be quite bored by a visit to an art gallery. I,0.246000007,-0.270090371,0.270090371,2,163,0.184996739,0.02783303,0.255284846,NA,NA,NA
1303,I don't think that the way I look at things is wrong.,Flexibility,Flexibility,"When people tell me that I’m wrong, my first reaction is to argue with them.",I am usually quite flexible in my opinions when people disagree with me.,"When people tell me that I’m wrong, my first reaction is to argue with them.",I am usually quite flexible in my opinions when people disagree with me.,63,39,TRUE,TRUE,4694,Agreeableness,0.4385342,0.261977971,0.305775106,0.089367777,"When people tell me that I’m wrong, my first reaction is to argue with them. I am usually quite flexible in my opinions when people disagree with me. I",0.345200002,0.17655623,0.17655623,1,319,0.306933522,0.066758484,0.32042703,NA,NA,NA
1304,I like the idea of being a part of a team.,Social_Boldness,Sociability,I rarely express my opinions in group meetings.,I enjoy having lots of people around to talk with.,I rarely express my opinions in group meetings.,I enjoy having lots of people around to talk with.,10,40,TRUE,TRUE,2618,Extraversion,0.303687662,0.274083197,0.274083227,0.086051255,I rarely express my opinions in group meetings. I enjoy having lots of people around to talk with. I,0.248400003,0.029604465,0.029604465,0,228,0.282266885,0.083456621,0.810805917,NA,NA,NA
1305,I have a great team.,Social_Boldness,Sociability,I rarely express my opinions in group meetings.,I enjoy having lots of people around to talk with.,I rarely express my opinions in group meetings.,I enjoy having lots of people around to talk with.,10,40,TRUE,TRUE,2644,Extraversion,0.381373048,0.237383038,0.243538886,0.072997287,I rarely express my opinions in group meetings. I enjoy having lots of people around to talk with. I,0.215399995,0.14399001,0.14399001,1,228,0.246484295,0.063057348,0.710223973,NA,NA,NA
1306,I like to work in a team.,Social_Self_Esteem,Sociability,I think that most people like some aspects of my personality.,I prefer jobs that involve active social interaction to those that involve working alone.,I think that most people like some aspects of my personality.,I prefer jobs that involve active social interaction to those that involve working alone.,28,64,FALSE,TRUE,3053,Extraversion,0.34699896,0.26550287,0.271135151,0.089230239,I think that most people like some aspects of my personality. I prefer jobs that involve active social interaction to those that involve working alone. I,0.280200005,0.08149609,0.08149609,0,228,0.294167042,0.076800421,0.781312227,NA,NA,NA
1307,I enjoy working in a team environment.,Liveliness,Sociability,"On most days, I feel cheerful and optimistic.",I prefer jobs that involve active social interaction to those that involve working alone.,"On most days, I feel cheerful and optimistic.",I prefer jobs that involve active social interaction to those that involve working alone.,46,64,FALSE,TRUE,3368,Extraversion,0.36672011,0.243050158,0.292562842,0.092826575,"On most days, I feel cheerful and optimistic. I prefer jobs that involve active social interaction to those that involve working alone. I",0.27579999,0.123669952,0.123669952,0,228,0.286835194,0.0680255,0.84711206,NA,NA,NA
1308,I love the social aspect of being on a team.,Liveliness,Sociability,Most people are more upbeat and dynamic than I generally am.,I enjoy having lots of people around to talk with.,Most people are more upbeat and dynamic than I generally am.,I enjoy having lots of people around to talk with.,94,40,FALSE,TRUE,3425,Extraversion,0.48017785,0.260137945,0.303161472,0.136887878,Most people are more upbeat and dynamic than I generally am. I enjoy having lots of people around to talk with. I,0.263000011,0.220039904,0.220039904,0,228,0.27878204,0.088352412,0.781312227,NA,NA,NA
1309,I love the feeling of being part of a team.,Sociability,Sociability,"I avoid making ""small talk"" with people.",I prefer jobs that involve active social interaction to those that involve working alone.,"I avoid making ""small talk"" with people.",I prefer jobs that involve active social interaction to those that involve working alone.,16,64,TRUE,TRUE,3732,Extraversion,0.298138261,0.201954842,0.24387303,0.100387707,"I avoid making ""small talk"" with people. I prefer jobs that involve active social interaction to those that involve working alone. I",0.246999994,0.096183419,0.096183419,0,228,0.263889521,0.070793495,0.836658835,NA,NA,NA
1310,I'm very lucky to have a good team around me.,Organization,Prudence,"When working, I sometimes have difficulties due to being disorganized.",I make a lot of mistakes because I don't think before I act.,"When working, I sometimes have difficulties due to being disorganized.",I make a lot of mistakes because I don't think before I act.,74,44,FALSE,TRUE,4958,Conscientiousness,0.316976875,0.188888565,0.236210391,-0.040632993,"When working, I sometimes have difficulties due to being disorganized. I make a lot of mistakes because I don't think before I act. I",0.220699996,0.12808831,0.12808831,0,228,0.298796177,0.010021716,0.760814726,NA,NA,NA
1311,I like to be in a team.,Creativity,Creativity,I don't think of myself as the artistic or creative type.,I would like a job that requires following a routine rather than being creative.,I don't think of myself as the artistic or creative type.,I would like a job that requires following a routine rather than being creative.,85,13,TRUE,TRUE,7023,Openness to Experience,0.272075951,0.155371606,0.267884612,-0.009848833,I don't think of myself as the artistic or creative type. I would like a job that requires following a routine rather than being creative. I,0.2509,0.116704345,0.116704345,0,228,0.310785741,0.050957054,0.804306746,NA,NA,NA
1312,I know I can be a valuable asset to a team.,Dependence,Fearfulness,"Whenever I feel worried about something, I want to share my concern with another person.",I don’t mind doing jobs that involve dangerous work.,"Whenever I feel worried about something, I want to share my concern with another person.",I don’t mind doing jobs that involve dangerous work.,65,29,FALSE,FALSE,2554,Emotionality,0.253489971,0.130516514,0.229575664,-0.061868697,"Whenever I feel worried about something, I want to share my concern with another person. I don’t mind doing jobs that involve dangerous work. I",0.196600005,0.122973457,0.122973457,1,228,0.241298363,-0.005979449,0.669766903,NA,NA,NA
1313,I'd like the government to provide me with a lot of money.,Fairness,Greed_Avoidance,"I would never accept a bribe, even if it were very large.","I would like to live in a very expensive, high-class neighborhood.","I would never accept a bribe, even if it were very large.","I would like to live in a very expensive, high-class neighborhood.",60,42,TRUE,FALSE,1191,Honesty_Humility,0.139385924,0.459491819,0.319029391,0.168875098,"I would never accept a bribe, even if it were very large. I would like to live in a very expensive, high-class neighborhood. I",0.257400006,-0.320105895,0.320105895,0,0,0.219819918,0.101003438,0.493964344,NA,NA,NA
1314,I wouldn't accept anything from a government official.,Modesty,Fairness,I wouldn’t want people to treat me as though I were superior to them.,"I would never accept a bribe, even if it were very large.",I wouldn’t want people to treat me as though I were superior to them.,"I would never accept a bribe, even if it were very large.",48,60,FALSE,TRUE,64,Honesty_Humility,0.301488996,0.042348422,0.125062048,0.052283794,"I wouldn’t want people to treat me as though I were superior to them. I would never accept a bribe, even if it were very large. I",0.275999993,0.259140573,0.259140573,3,55,0.20104973,0.056138307,0.41594699,NA,NA,NA
1315,I'm not going to accept any form of payment from the government.,Greed_Avoidance,Fairness,I would like to be seen driving around in a very expensive car.,"I would never accept a bribe, even if it were very large.",I would like to be seen driving around in a very expensive car.,"I would never accept a bribe, even if it were very large.",66,60,FALSE,TRUE,696,Honesty_Humility,0.21233651,0.085867107,0.121581241,0.074260741,"I would like to be seen driving around in a very expensive car. I would never accept a bribe, even if it were very large. I",0.250699997,0.126469404,0.126469404,3,55,0.191660956,0.093289286,0.315625548,NA,NA,NA
1316,I know that the Government won't do anything to help me.,Modesty,Fairness,I am an ordinary person who is no better than others.,"I’d be tempted to use counterfeit money, if I were sure I could get away with it.",I am an ordinary person who is no better than others.,"I’d be tempted to use counterfeit money, if I were sure I could get away with it.",24,84,FALSE,TRUE,873,Honesty_Humility,0.343167186,0.150927603,0.210702807,0.03104651,"I am an ordinary person who is no better than others. I’d be tempted to use counterfeit money, if I were sure I could get away with it. I",0.224600002,0.192239583,0.192239583,3,55,0.259604663,0.059698641,0.384990752,NA,NA,NA
1317,I don't think I would ever accept anything from the government.,Fairness,Greed_Avoidance,"I would never accept a bribe, even if it were very large.",Having a lot of money is not especially important to me.,"I would never accept a bribe, even if it were very large.",Having a lot of money is not especially important to me.,60,18,TRUE,FALSE,1277,Honesty_Humility,0.20590359,0.139189661,0.146000832,0.031680316,"I would never accept a bribe, even if it were very large. Having a lot of money is not especially important to me. I",0.31279999,0.066713929,0.066713929,3,55,0.220656201,0.064923212,0.54130882,NA,NA,NA
1318,I don't have a very big ego.,Dependence,Anxiety,I rarely discuss my problems with other people.,I worry a lot less than most people do.,I rarely discuss my problems with other people.,I worry a lot less than most people do.,89,35,FALSE,FALSE,1793,Emotionality,0.371211171,0.46855408,0.38405481,0.038313538,I rarely discuss my problems with other people. I worry a lot less than most people do. I,0.341100007,-0.097342908,0.097342908,3,238,0.33401078,0.0538311,0.266909331,NA,NA,NA
1319,I feel I have a lot of potential.,Diligence,Diligence,I do only the minimum amount of work needed to get by.,I often push myself very hard when trying to achieve a goal.,I do only the minimum amount of work needed to get by.,I often push myself very hard when trying to achieve a goal.,80,32,FALSE,FALSE,5363,Conscientiousness,0.226454496,0.255530536,0.255530506,-0.031808332,I do only the minimum amount of work needed to get by. I often push myself very hard when trying to achieve a goal. I,0.244000003,-0.02907604,0.02907604,0,15,0.293182611,0.064545304,0.587476313,NA,NA,NA
1320,I want a lot of things.,Sincerity,Greed_Avoidance,I wouldn't pretend to like someone just to get that person to do favors for me.,"I would like to live in a very expensive, high-class neighborhood.",I wouldn't pretend to like someone just to get that person to do favors for me.,"I would like to live in a very expensive, high-class neighborhood.",78,42,TRUE,FALSE,1082,Honesty_Humility,0.083214544,0.283506781,0.23737295,0.075777531,"I wouldn't pretend to like someone just to get that person to do favors for me. I would like to live in a very expensive, high-class neighborhood. I",0.305599988,-0.200292237,0.200292237,0,106,0.222981736,0.080592722,0.510564387,NA,NA,NA
1321,I have a lot of things to offer.,Modesty,Modesty,I think that I am entitled to more respect than the average person is.,I am an ordinary person who is no better than others.,I think that I am entitled to more respect than the average person is.,I am an ordinary person who is no better than others.,72,24,FALSE,FALSE,1111,Honesty_Humility,-0.020019935,0.14583002,0.129151195,0.082893401,I think that I am entitled to more respect than the average person is. I am an ordinary person who is no better than others. I,0.277399987,-0.165849956,0.165849956,1,106,0.145213902,0.103127688,0.482542694,NA,NA,NA
1322,I like to think I have a lot to offer.,Social_Self_Esteem,Sociability,I feel that I am an unpopular person.,I enjoy having lots of people around to talk with.,I feel that I am an unpopular person.,I enjoy having lots of people around to talk with.,52,40,FALSE,TRUE,3571,Extraversion,0.434235245,0.235818326,0.36225301,0.098251224,I feel that I am an unpopular person. I enjoy having lots of people around to talk with. I,0.323199987,0.198416919,0.198416919,0,106,0.274189264,0.104946002,0.500752211,NA,NA,NA
1323,I don't feel like I have a lot to offer.,Social_Self_Esteem,Social_Self_Esteem,I feel that I am an unpopular person.,I feel reasonably satisfied with myself overall.,I feel that I am an unpopular person.,I feel reasonably satisfied with myself overall.,52,4,FALSE,FALSE,3593,Extraversion,0.182494238,0.353487164,0.206217393,0.064848378,I feel that I am an unpopular person. I feel reasonably satisfied with myself overall. I,0.313800007,-0.170992926,0.170992926,4,106,0.293314487,0.083719984,0.181840226,NA,NA,NA
1324,I have a lot of things going for me.,Social_Self_Esteem,Social_Self_Esteem,I feel that I am an unpopular person.,I feel reasonably satisfied with myself overall.,I feel that I am an unpopular person.,I feel reasonably satisfied with myself overall.,52,4,FALSE,FALSE,3614,Extraversion,0.447583437,0.159792185,0.268053174,0.005848646,I feel that I am an unpopular person. I feel reasonably satisfied with myself overall. I,0.291299999,0.287791252,0.287791252,0,106,0.225287914,0.024089456,0.611095011,NA,NA,NA
1325,I have a lot of interests.,Unconventionality,Unconventionality,I like people who have unconventional views.,I think of myself as a somewhat eccentric person.,I like people who have unconventional views.,I think of myself as a somewhat eccentric person.,43,67,TRUE,TRUE,6913,Openness to Experience,0.285004377,0.070148498,0.122645393,0.0163389,I like people who have unconventional views. I think of myself as a somewhat eccentric person. I,0.320600003,0.21485588,0.21485588,1,106,0.274074495,0.071351975,0.527714193,NA,NA,NA
1326,I have a huge ego.,Sincerity,Fairness,"If I want something from someone, I will laugh at that person's worst jokes.","If I knew that I could never get caught, I would be willing to steal a million dollars.","If I want something from someone, I will laugh at that person's worst jokes.","If I knew that I could never get caught, I would be willing to steal a million dollars.",54,12,TRUE,TRUE,1142,Honesty_Humility,0.145520553,0.103919305,0.145520538,0.041073531,"If I want something from someone, I will laugh at that person's worst jokes. If I knew that I could never get caught, I would be willing to steal a million dollars. I",0.272599995,0.041601248,0.041601248,1,238,0.185211509,0.038950473,0.48712337,NA,NA,NA
1327,I don't think I have a big ego.,Sociability,Liveliness,"I avoid making ""small talk"" with people.","On most days, I feel cheerful and optimistic.","I avoid making ""small talk"" with people.","On most days, I feel cheerful and optimistic.",16,46,TRUE,FALSE,3341,Extraversion,0.157384291,0.415582806,0.225614399,0.071609408,"I avoid making ""small talk"" with people. On most days, I feel cheerful and optimistic. I",0.358999997,-0.258198515,0.258198515,3,238,0.29502064,0.067988724,0.221264809,NA,NA,NA
1328,I want to go out in the country.,Greed_Avoidance,Modesty,I would like to be seen driving around in a very expensive car.,I am an ordinary person who is no better than others.,I would like to be seen driving around in a very expensive car.,I am an ordinary person who is no better than others.,66,24,FALSE,FALSE,274,Honesty_Humility,0.044099368,0.273373514,0.262283087,0.064923972,I would like to be seen driving around in a very expensive car. I am an ordinary person who is no better than others. I,0.233600006,-0.229274146,0.229274146,0,3,0.219265774,0.078664124,0.339091271,NA,NA,NA
1329,I want to be able to buy a home in the country.,Sincerity,Greed_Avoidance,I wouldn't pretend to like someone just to get that person to do favors for me.,"I would like to live in a very expensive, high-class neighborhood.",I wouldn't pretend to like someone just to get that person to do favors for me.,"I would like to live in a very expensive, high-class neighborhood.",78,42,TRUE,FALSE,362,Honesty_Humility,0.164679587,0.309230715,0.263260007,0.036589243,"I wouldn't pretend to like someone just to get that person to do favors for me. I would like to live in a very expensive, high-class neighborhood. I",0.197699994,-0.144551128,0.144551128,0,3,0.231636539,0.07605461,0.343719006,NA,NA,NA
1330,I'm very interested to know more about what is going on in my country.,Creativity,Inquisitiveness,"I would enjoy creating a work of art, such as a novel, a song, or a painting.",I'm interested in learning about the history and politics of other countries.,"I would enjoy creating a work of art, such as a novel, a song, or a painting.",I'm interested in learning about the history and politics of other countries.,37,7,TRUE,FALSE,6132,Openness to Experience,0.377272487,0.172690362,0.307312489,0.03437756,"I would enjoy creating a work of art, such as a novel, a song, or a painting. I'm interested in learning about the history and politics of other countries. I",0.192200005,0.204582125,0.204582125,0,3,0.333203405,0.062172771,0.358047962,NA,NA,NA
1331,I just want to read about my country's history.,Inquisitiveness,Unconventionality,I'm interested in learning about the history and politics of other countries.,I think that paying attention to radical ideas is a waste of time.,I'm interested in learning about the history and politics of other countries.,I think that paying attention to radical ideas is a waste of time.,7,19,FALSE,TRUE,6217,Openness to Experience,0.273611784,0.185508341,0.261696935,0.103544593,I'm interested in learning about the history and politics of other countries. I think that paying attention to radical ideas is a waste of time. I,0.247500002,0.088103443,0.088103443,0,3,0.297329903,0.122214481,0.321301967,NA,NA,NA
1332,I just want to know about my country.,Inquisitiveness,Unconventionality,I'm interested in learning about the history and politics of other countries.,I think that paying attention to radical ideas is a waste of time.,I'm interested in learning about the history and politics of other countries.,I think that paying attention to radical ideas is a waste of time.,7,19,FALSE,TRUE,6220,Openness to Experience,0.274480999,0.145343632,0.191863433,0.020385072,I'm interested in learning about the history and politics of other countries. I think that paying attention to radical ideas is a waste of time. I,0.189099997,0.129137367,0.129137367,0,3,0.301305115,0.075821608,0.496037781,NA,NA,NA
1333,I feel stronger when I'm able to help someone in a difficult situation.,Sentimentality,Dependence,I feel strong emotions when someone close to me is going away for a long time.,I can handle difficult situations without needing emotional support from anyone else.,I feel strong emotions when someone close to me is going away for a long time.,I can handle difficult situations without needing emotional support from anyone else.,71,41,FALSE,FALSE,1917,Emotionality,0.461585522,0.382784218,0.424721062,0.123527348,I feel strong emotions when someone close to me is going away for a long time. I can handle difficult situations without needing emotional support from anyone else. I,0.263999999,0.078801304,0.078801304,0,339,0.340407819,0.044341251,0.556759715,NA,NA,NA
1334,I like to have someone who can give me the strength to deal with any situation.,Dependence,Fearfulness,"When I suffer from a painful experience, I need someone to make me feel comfortable.",I don’t mind doing jobs that involve dangerous work.,"When I suffer from a painful experience, I need someone to make me feel comfortable.",I don’t mind doing jobs that involve dangerous work.,17,29,FALSE,FALSE,2107,Emotionality,0.488486111,0.286382765,0.42464155,0.085185468,"When I suffer from a painful experience, I need someone to make me feel comfortable. I don’t mind doing jobs that involve dangerous work. I",0.283699989,0.202103347,0.202103347,1,339,0.330699444,0.025568694,0.443790823,NA,NA,NA
1335,I like to help people.,Dependence,Fearfulness,"Whenever I feel worried about something, I want to share my concern with another person.",I don’t mind doing jobs that involve dangerous work.,"Whenever I feel worried about something, I want to share my concern with another person.",I don’t mind doing jobs that involve dangerous work.,65,29,FALSE,FALSE,2532,Emotionality,0.415161222,0.280236036,0.33462885,0.003140733,"Whenever I feel worried about something, I want to share my concern with another person. I don’t mind doing jobs that involve dangerous work. I",0.267699987,0.134925187,0.134925187,0,126,0.321099937,0.030594707,0.61251688,NA,NA,NA
1336,I'm willing to take a risk to help someone else.,Dependence,Fearfulness,"Whenever I feel worried about something, I want to share my concern with another person.",I don’t mind doing jobs that involve dangerous work.,"Whenever I feel worried about something, I want to share my concern with another person.",I don’t mind doing jobs that involve dangerous work.,65,29,FALSE,FALSE,2548,Emotionality,0.367686868,0.374611974,0.367686838,0.107846439,"Whenever I feel worried about something, I want to share my concern with another person. I don’t mind doing jobs that involve dangerous work. I",0.226099998,-0.006925106,0.006925106,1,339,0.318211019,0.071055964,0.600140214,NA,NA,NA
1337,I'm a person who‘ wants to help people.,Sentimentality,Fearfulness,I feel like crying when I see other people crying.,I don’t mind doing jobs that involve dangerous work.,I feel like crying when I see other people crying.,I don’t mind doing jobs that involve dangerous work.,23,29,FALSE,FALSE,1881,Emotionality,0.3637954,0.279533267,0.336519361,0.016818017,I feel like crying when I see other people crying. I don’t mind doing jobs that involve dangerous work. I,0.239199996,0.084262133,0.084262133,0,339,0.310968161,0.017350703,0.603554606,NA,NA,NA
1338,I only want to help others like me.,Sincerity,Modesty,"If I want something from a person I dislike, I will act very nicely toward that person in order to get it.",I am an ordinary person who is no better than others.,"If I want something from a person I dislike, I will act very nicely toward that person in order to get it.",I am an ordinary person who is no better than others.,6,24,TRUE,FALSE,908,Honesty_Humility,0.354010701,0.296692431,0.341609836,0.001434848,"If I want something from a person I dislike, I will act very nicely toward that person in order to get it. I am an ordinary person who is no better than others. I",0.268400013,0.05731827,0.05731827,0,126,0.30452773,0.030539155,0.566990793,NA,NA,NA
1339,I like to help people with their problems.,Sociability,Social_Boldness,The first thing that I always do in a new place is to make friends.,"When I'm in a group of people, I'm often the one who speaks on behalf of the group.",The first thing that I always do in a new place is to make friends.,"When I'm in a group of people, I'm often the one who speaks on behalf of the group.",88,58,TRUE,TRUE,3183,Extraversion,0.360739708,0.331244946,0.350905329,0.002126366,"The first thing that I always do in a new place is to make friends. When I'm in a group of people, I'm often the one who speaks on behalf of the group. I",0.262400001,0.029494762,0.029494762,0,126,0.331108958,0.054563403,0.649244487,NA,NA,NA
1340,I like to help others.,Liveliness,Sociability,"On most days, I feel cheerful and optimistic.",I prefer jobs that involve active social interaction to those that involve working alone.,"On most days, I feel cheerful and optimistic.",I prefer jobs that involve active social interaction to those that involve working alone.,46,64,FALSE,TRUE,3354,Extraversion,0.336768717,0.314254522,0.31763196,0.063852087,"On most days, I feel cheerful and optimistic. I prefer jobs that involve active social interaction to those that involve working alone. I",0.300700009,0.022514194,0.022514194,0,126,0.321181864,0.077356055,0.640874624,NA,NA,NA
1341,I love to help others.,Liveliness,Sociability,"On most days, I feel cheerful and optimistic.",I prefer jobs that involve active social interaction to those that involve working alone.,"On most days, I feel cheerful and optimistic.",I prefer jobs that involve active social interaction to those that involve working alone.,46,64,FALSE,TRUE,3356,Extraversion,0.335010976,0.282298505,0.282298505,0.020920366,"On most days, I feel cheerful and optimistic. I prefer jobs that involve active social interaction to those that involve working alone. I",0.277799994,0.05271247,0.05271247,0,126,0.275400579,0.041255683,0.585056484,NA,NA,NA
